POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,,POSTNR,KOMM,ID,Lat,Long
876,4274,2044050.734,6444.34496,4,-23246.47,6514277.38,0,EGERSUND,,55,1500,0,0,0,0,Postomr�de,,4370,1101,1,58.953037,5.63539
877,4278,55059987.1,36179.50319,4,-27711.28,6519680.04,0.12,HELLVIK,,55,1500,0,0,0,0,Postomr�de,,4375,1101,1,58.953037,5.63539
878,4285,103989655.9,42441.30154,4,-23415.88,6595856.36,0,FINN�Y,,55,1500,0,0,0,0,Postomr�de,,4160,1141,1,58.953037,5.63539
879,4290,29230706.15,23821.98696,4,-18664.33,6591491.56,0,FOGN,,55,1500,0,0,0,0,Postomr�de,,4164,1141,1,58.953037,5.63539
880,4293,5780686.03,11029.48527,4,-17476.45,6594115.96,0,S�RBOKN,,55,1500,0,0,0,0,Postomr�de,,4169,1141,1,58.953037,5.63539
881,4298,21168704.73,20644.29395,4,-16979.19,6597071.87,0,SKARTVEIT,,55,1500,0,0,0,0,Postomr�de,,4182,1141,1,58.953037,5.63539
882,4302,10185645.39,13927.52308,4,-19769.34,6600331.65,0,NORD-HIDLE,,55,1500,0,0,0,0,Postomr�de,,4173,1141,1,58.953037,5.63539
883,4306,113506677.1,51789.86183,4,-21288.73,6606795.96,0,SJERNAR�Y,,55,1500,0,0,0,0,Postomr�de,,4170,1141,1,58.953037,5.63539
884,4318,386516896.7,94758.77081,4,2273.67,6567522.98,0,FORSAND,,55,1500,0,0,0,0,Postomr�de,,4110,1129,1,58.953037,5.63539
885,4323,28431529.07,25063.17145,4,-13335,6555701.99,1.93,OLTEDAL,,55,1500,0,0,0,0,Postomr�de,,4333,1122,1,58.953037,5.63539
886,4328,10004065.49,12885.68028,4,-15901.81,6591740.19,0,BYRE,,82,0,0,0,0,0,Postomr�de,,4168,1141,1,58.953037,5.63539
887,4335,334158869.4,83177.5952,4,24382.77,6579354.09,0,LYSEBOTN,,55,1500,0,0,0,0,Postomr�de,,4127,1129,1,58.953037,5.63539
888,4339,129553144.2,59696.18234,4,4055.18,6577435.53,0,SONGESAND,,55,1500,0,0,0,0,Postomr�de,,4129,1129,1,58.953037,5.63539
889,4344,39612335.08,27154.25771,4,-9662.78,6592155.67,0,FISTER,,55,1500,0,0,0,0,Postomr�de,,4139,1133,1,58.953037,5.63539
890,4350,333776798.6,98762.77292,4,5400.11,6597667.51,0,HJELMELAND,,55,1500,0,0,0,0,Postomr�de,,4130,1133,1,58.953037,5.63539
891,4352,5114757.971,9472.94338,4,-13828.22,6589967.76,0,HELG�Y I RYFYLKE,,82,0,0,0,0,0,Postomr�de,,4167,1133,1,58.953037,5.63539
892,4380,457171158.4,129983.7687,4,-10618.62,6538093.86,0,VIKES�,,55,1500,0,0,0,0,Postomr�de,,4389,1114,1,58.953037,5.63539
893,4391,392133756.6,108820.6585,4,1191.16,6552704.01,0,DIRDAL,,55,1500,0,0,0,0,Postomr�de,,4335,1122,1,58.953037,5.63539
894,4396,96931450.75,51179.63413,4,-39723.7,6534859.52,0,VARHAUG,,55,1500,0,0,0,0,Postomr�de,,4360,1119,1,58.953037,5.63539
895,4399,84260981.46,51667.035,4,-37849.19,6530312.1,0,VIGRESTAD,,55,1500,0,0,0,0,Postomr�de,,4362,1119,1,58.953037,5.63539
896,4404,196875450.9,80472.95236,4,-20779.68,6528785.48,0,BJERKREIM,,55,1500,0,0,0,0,Postomr�de,,4387,1114,1,58.953037,5.63539
897,4407,105260093.1,50517.36848,4,-33683.62,6522293.39,11.18,SIREV�G,,55,1500,0,0,0,0,Postomr�de,,4364,1119,1,58.953037,5.63539
898,4410,107625419.4,63534.51818,4,-34933.29,6527951.62,0,BRUSAND,,55,1500,0,0,0,0,Postomr�de,,4363,1119,1,58.953037,5.63539
899,4414,110866623.3,46504.08903,4,-62897.56,6602145.09,0,SANDVE,,55,1500,0,0,0,0,Postomr�de,,4272,1149,1,58.953037,5.63539
900,4420,72183973.8,51765.45212,4,-61821.18,6605966.24,0,STOL,,55,1500,0,0,0,0,Postomr�de,,4274,1149,1,58.953037,5.63539
902,4428,57277323.24,48306.32516,4,-59991.33,6609249.2,0,�KREHAMN,,55,1500,0,0,0,0,Postomr�de,,4270,1149,1,58.953037,5.63539
903,4436,200898492.6,67250.33892,4,-60639.16,6623026.88,0,FE�Y,,55,1500,0,0,0,0,Postomr�de,,5548,1149,1,58.953037,5.63539
904,4441,23121885.45,21855.15631,4,-57075.65,6617283.97,0,KVALAV�G,,55,1500,0,0,0,0,Postomr�de,,4264,1149,1,58.953037,5.63539
905,4446,16797391.51,17573.5349,4,-52941.03,6615761.31,0,H�VIK,,55,1500,0,0,0,0,Postomr�de,,4265,1149,1,58.953037,5.63539
906,4450,27466995.1,22748.97887,4,-51227.94,6619006.27,0,AVALDSNES,,55,1500,0,0,0,0,Postomr�de,,4262,1149,1,58.953037,5.63539
907,4453,5160596.497,11159.04253,4,-49281.34,6618936.63,0,VORMEDAL,,55,1500,0,0,0,0,Postomr�de,,5545,1149,1,58.953037,5.63539
908,4456,71057901.85,62347.00999,4,-59291.68,6615007.84,0,VEAV�GEN,01.10.2014,55,1500,0,0,0,0,Postomr�de,,4276,1149,1,58.953037,5.63539
909,4461,187011304.9,60093.64621,4,-55739.62,6594771.88,0,SKUDENESHAVN,,55,1500,0,0,0,0,Postomr�de,,4280,1149,1,58.953037,5.63539
910,4464,49097403.95,37372.43573,4,-52833.4,6608764.83,0,KOPERVIK,,55,1500,0,0,0,0,Postomr�de,,4250,1149,1,58.953037,5.63539
911,4471,118084620.6,57826.23622,4,-42494.14,6553569.28,0,KLEPPE,,55,1500,0,0,0,0,Postomr�de,,4352,1120,1,58.953037,5.63539
912,4478,71758123.21,39323.09388,4,-46192.59,6547581.31,6.14,ORRE,,55,1500,0,0,0,0,Postomr�de,,4343,1120,1,58.953037,5.63539
913,4484,244598783,63568.12513,4,-49406.76,6585318.65,0,KVITS�Y,,55,1500,0,0,0,0,Postomr�de,,4180,1144,1,58.953037,5.63539
914,4490,137915555.2,60934.15213,4,7647.1,6507982.95,0,MOI,,55,1500,0,0,0,0,Postomr�de,,4460,1112,1,58.953037,5.63539
915,4496,222045521.1,91705.14608,4,-11787.99,6521751.99,0,HELLELAND,,55,1500,0,0,0,0,Postomr�de,,4376,1101,1,58.953037,5.63539
916,4499,134005034.6,50330.73995,4,6877.92,6520289.93,0,HOVSHERAD,,55,1500,0,0,0,0,Postomr�de,,4462,1112,1,58.953037,5.63539
917,4501,142288300.6,62404.59469,4,-4198.37,6517520.86,273.73,UALAND,,55,1500,0,0,0,0,Postomr�de,,4463,1112,1,58.953037,5.63539
918,4509,1416292.19,6123.28933,4,-48955.37,6624591.54,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5535,1106,1,58.953037,5.63539
919,4514,599393.3187,5128.18128,4,-50002.93,6626619.06,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5521,1106,1,58.953037,5.63539
920,4519,308396.5249,2592.97962,4,-50772.8,6626040.62,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5528,1106,1,58.953037,5.63539
921,4523,1615212.233,8142.62876,4,-49316.96,6625802.99,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5532,1106,1,58.953037,5.63539
922,4527,281261.3933,2463.67822,4,-51169.83,6626872.05,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5525,1106,1,58.953037,5.63539
923,4532,920521.9376,6823.89262,4,-50419.76,6629106.59,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5516,1106,1,58.953037,5.63539
924,4537,6132981.946,11534.35281,4,-52808.37,6629369.57,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5515,1106,1,58.953037,5.63539
925,4545,10156430.92,20241.83422,4,-48181.93,6629059.86,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5518,1106,1,58.953037,5.63539
926,4547,983293.4009,5144.74207,4,-49549,6629368.04,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5517,1106,1,58.953037,5.63539
927,4556,59488832.31,42506.90359,4,-50890.01,6632268,29.24,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5514,1106,1,58.953037,5.63539
928,4563,29876036.96,23778.16382,4,-51467.25,6623958.32,0,TORVASTAD,,55,1500,0,0,0,0,Postomr�de,,4260,1149,1,58.953037,5.63539
929,4572,7691587.909,12365.59164,4,-49100.95,6622631.98,11.1,KARMSUND,,55,1500,0,0,0,0,Postomr�de,,5542,1149,1,58.953037,5.63539
930,4575,610248.0909,3315.35636,4,-48189.96,6623903.99,81,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5536,1106,1,58.953037,5.63539
931,4578,1583540.875,6034.40332,4,-49961.35,6623767.03,26.6,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5538,1106,1,58.953037,5.63539
932,4579,959454.5889,5240.3266,4,-48977.58,6623677.78,33.5,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5537,1106,1,58.953037,5.63539
933,4583,1841771.97,6258.57252,4,-52075.9,6627194.57,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5523,1106,1,58.953037,5.63539
934,4586,172326876.4,63763.22491,4,-57798.69,6632272.42,0,R�V�R,,55,1500,0,0,0,0,Postomr�de,,5549,1106,1,58.953037,5.63539
935,4590,699652.7449,7086.43457,4,-50703.95,6627108.02,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5522,1106,1,58.953037,5.63539
936,4591,1376053.886,6244.73568,4,-49781,6627304.32,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5519,1106,1,58.953037,5.63539
937,4593,665835.7974,4221.76891,4,-49884.95,6625339,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5531,1106,1,58.953037,5.63539
938,4595,1253710.873,5409.33172,4,-50675.97,6625010.96,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5529,1106,1,58.953037,5.63539
939,4596,1237889.692,5432.48347,4,-51431.02,6626162.99,0,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5527,1106,1,58.953037,5.63539
940,4600,5198422.31,10102.03143,4,-47524.28,6626326.48,158,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,,5533,1106,1,58.953037,5.63539
941,4604,20536622.01,18601.79448,4,-24189.39,6589198.67,0,TALGJE,,55,1500,0,0,0,0,Postomr�de,,4163,1141,1,58.953037,5.63539
942,4611,189910029.4,56573.98275,4,-44763.53,6603067.84,0,BOKN,,55,1500,0,0,0,0,Postomr�de,,5561,1145,1,58.953037,5.63539
943,4615,17380149.13,17690.94053,4,-35920.99,6583090.99,0,BRU,,55,1500,0,0,0,0,Postomr�de,,4158,1142,1,58.953037,5.63539
944,4619,119985205.1,47965.54424,4,-30788.59,6588692.59,0,RENNES�Y,,55,1500,0,0,0,0,Postomr�de,,4150,1142,1,58.953037,5.63539
945,4623,55166613.7,36933.69321,4,-36032.08,6587333.17,0,MOSTER�Y,,55,1500,0,0,0,0,Postomr�de,,4156,1142,1,58.953037,5.63539
946,4635,1134025.46,6317.39249,4,-34933.78,6558415.44,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4321,1102,1,58.953037,5.63539
947,4640,2011749.089,8568.70301,4,-34854.61,6559908.62,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4318,1102,1,58.953037,5.63539
948,4648,1950738.77,11505.6515,4,-33398.93,6560111.04,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4306,1102,1,58.953037,5.63539
949,4651,1225712.68,6560.21114,4,-34118.16,6560011.98,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4319,1102,1,58.953037,5.63539
950,4655,1255983.649,8038.68962,4,-31960.87,6559560.6,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4326,1102,1,58.953037,5.63539
951,4662,930686.6948,5047.71536,4,-33339.96,6563745.2,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4314,1102,1,58.953037,5.63539
952,4668,1930816.587,6494.39114,4,-32453.48,6563258.34,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4315,1102,1,58.953037,5.63539
953,4670,12058717.26,18599.48869,4,-26835.56,6570433.25,0,HOMMERS�K,,55,1500,0,0,0,0,Postomr�de,,4310,1102,1,58.953037,5.63539
954,4674,1831934.272,6660.45798,4,-33326.93,6556716.77,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4324,1102,1,58.953037,5.63539
955,4678,2762868.116,8387.30536,4,-32900.97,6558745.69,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4325,1102,1,58.953037,5.63539
956,4682,951944.1308,5774.59983,4,-34214.41,6561678.62,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4316,1102,1,58.953037,5.63539
957,4687,1581986.832,8402.72286,4,-32970.97,6561574.93,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4307,1102,1,58.953037,5.63539
958,4689,911709.2495,6900.80514,4,-33672.96,6561738.82,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4317,1102,1,58.953037,5.63539
959,4694,4379445.103,12432.44702,4,-36195.99,6556421.37,11.2,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4322,1102,1,58.953037,5.63539
960,4698,1515918.234,6078.43082,4,-32113.22,6561341.41,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4328,1102,1,58.953037,5.63539
961,4701,927163.866,7023.38943,4,-32197.92,6560274.54,0,SANDNES,,82,0,0,0,0,0,Postomr�de,,4327,1102,1,58.953037,5.63539
962,4704,4993852.2,12154.59605,4,-30275.55,6561222.45,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4309,1102,1,58.953037,5.63539
963,4710,133047778.8,58213.86458,4,-43785.12,6539684.63,0.18,N�RB�,,55,1500,0,0,0,0,Postomr�de,,4365,1119,1,58.953037,5.63539
964,4715,6238170.577,15492.94272,4,-34608.89,6556018.4,17.4,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4323,1102,1,58.953037,5.63539
965,4723,168354281.4,62098.37682,4,-21455.28,6561510.84,1.93,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4308,1102,1,58.953037,5.63539
966,4728,16075236.33,21069.70252,4,-37895.54,6553901.94,17.4,KLEPP STASJON,,55,1500,0,0,0,0,Postomr�de,,4353,1120,1,58.953037,5.63539
967,4732,22387208.06,22870.98193,4,-33970.48,6552039.18,45.4,KVERNALAND,,55,1500,0,0,0,0,Postomr�de,,4355,1121,1,58.953037,5.63539
968,4736,90828207.53,53478.94001,4,-32468.14,6539654.39,0,UNDHEIM,,55,1500,0,0,0,0,Postomr�de,,4342,1121,1,58.953037,5.63539
969,4745,424225794.4,106822.0535,4,-7270.91,6501651.28,111.65,HAUGE I DALANE,,55,1500,0,0,0,0,Postomr�de,,4380,1111,1,58.953037,5.63539
970,4751,25265163.28,25817.46276,4,-37375.86,6560526.7,10.18,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4312,1102,1,58.953037,5.63539
971,4756,11072597.69,17863.12864,4,-40804,6560572,3.76,TJELTA,,55,1500,0,0,0,0,Postomr�de,,4054,1124,1,58.953037,5.63539
972,4761,76734288.79,47823.12352,4,-44270.44,6563852.85,0,R�GE,,55,1500,0,0,0,0,Postomr�de,,4053,1124,1,58.953037,5.63539
973,4764,4994472.853,13383.66042,4,-34470.93,6563679.56,23.85,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4313,1102,1,58.953037,5.63539
974,4769,2220161.177,8909.95092,4,-37523.3,6565084.69,0,SOLA,,55,1500,0,0,0,0,Postomr�de,,4050,1124,1,58.953037,5.63539
975,4794,2110095.99,8905.82883,4,-37174.28,6577865.18,0,RANDABERG,01.10.2016,55,1500,0,0,0,0,Postomr�de,,4070,1127,1,58.953037,5.63539
976,4799,12991211.01,15071.5841,4,-33646,6580758,0,VESTRE �M�Y,,55,1500,0,0,0,0,Postomr�de,,4152,1142,1,58.953037,5.63539
977,4804,14460052.35,16878.92908,4,-30016,6564576.8,0,SANDNES,,55,1500,0,0,0,0,Postomr�de,,4329,1102,1,58.953037,5.63539
978,4809,6137300.698,12478.70864,4,-36234.31,6567706.27,16.32,R�YNEBERG,,55,1500,0,0,0,0,Postomr�de,,4052,1124,1,58.953037,5.63539
979,4815,106369701.4,54112.75493,4,-48658.46,6569189.95,0,TANANGER,,55,1500,0,0,0,0,Postomr�de,,4056,1124,1,58.953037,5.63539
980,4819,2828650.967,6951.90185,4,-28386.21,6575563.35,0,VASS�Y,,0,0,0,0,0,0,Postomr�de,,4076,1103,1,58.953037,5.63539
981,4826,1711989.633,7877.14095,4,-35190,6572428,0,HAFRSFJORD,,0,0,0,0,0,0,Postomr�de,,4042,1103,1,58.953037,5.63539
982,4832,2823984.089,10605.34189,4,-32194.32,6570074,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4017,1103,1,58.953037,5.63539
983,4845,521291.7295,4999.86992,4,-32875.49,6574080.99,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4024,1103,1,58.953037,5.63539
984,4848,805166.1711,4333.38512,4,-34399.43,6576497.54,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4028,1103,1,58.953037,5.63539
985,4852,13431330.04,14005.82395,4,-29692.82,6582115.6,0,AUSTRE �M�Y,,0,0,0,0,0,0,Postomr�de,,4154,1103,1,58.953037,5.63539
986,4859,2483916.848,8548.58904,4,-34151.06,6573641.24,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4023,1103,1,58.953037,5.63539
987,4864,326692.1549,3944.53273,4,-32406.27,6573689.35,0,STAVANGER,,82,0,0,0,0,0,Postomr�de,,4008,1103,1,58.953037,5.63539
988,4868,1372863.177,5722.11431,4,-34490.42,6572791.4,0,STAVANGER,,82,0,0,0,0,0,Postomr�de,,4022,1103,1,58.953037,5.63539
989,4872,1272538.714,6216.52818,4,-32940.18,6573022.34,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4009,1103,1,58.953037,5.63539
990,4877,321266.7682,3897.10275,4,-31987.16,6573691.65,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4005,1103,1,58.953037,5.63539
991,4880,336707.4711,2742.79232,4,-31823.91,6574083.18,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4006,1103,1,58.953037,5.63539
992,4889,1899303.113,8106.17014,4,-30728.48,6573389.01,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4014,1103,1,58.953037,5.63539
993,4894,543395.8072,5671.37118,4,-31668.99,6573223.79,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4012,1103,1,58.953037,5.63539
994,4898,795104.6822,5189.35011,4,-32158.15,6572739.8,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4010,1103,1,58.953037,5.63539
995,4903,793582.554,5753.4048,4,-32015.77,6571820.24,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4011,1103,1,58.953037,5.63539
996,4910,3274085.01,10191.53078,4,-34238.62,6571628.01,26.15,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4021,1103,1,58.953037,5.63539
997,4913,1688853.598,7157.79724,4,-33397.6,6571022.76,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4019,1103,1,58.953037,5.63539
998,4915,2364565.918,9379.67806,4,-31370.15,6570750.01,0,STAVANGER,,0,0,0,0,0,0,Postomr�de,,4016,1103,1,58.953037,5.63539
